timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
0,00:00:00,1,background,0.7807,0.022;0.781;0.076;0.053;0.004;0.064,0
15498,00:00:15,2,background,0.6432,0.037;0.643;0.037;0.154;0.022;0.108,0
30538,00:00:30,3,background,0.2668,0.131;0.267;0.006;0.187;0.223;0.187,0
45578,00:00:45,4,background,0.7001,0.023;0.700;0.016;0.200;0.020;0.040,0
60618,00:01:00,5,background,0.6910,0.016;0.691;0.033;0.165;0.014;0.081,0
75658,00:01:15,6,background,0.8617,0.014;0.862;0.012;0.101;0.002;0.010,0
90700,00:01:30,7,background,0.7014,0.016;0.701;0.014;0.201;0.020;0.048,0
105738,00:01:45,8,background,0.4757,0.023;0.476;0.136;0.163;0.136;0.067,0
120778,00:02:00,9,background,0.5586,0.391;0.559;0.011;0.027;0.005;0.008,0
135818,00:02:15,10,background,0.7552,0.088;0.755;0.012;0.126;0.007;0.010,0
150858,00:02:30,11,background,0.9648,0.009;0.965;0.008;0.016;0.001;0.002,0
165898,00:02:45,12,background,0.9615,0.011;0.962;0.004;0.019;0.001;0.004,0
180938,00:03:00,13,background,0.9684,0.006;0.968;0.006;0.013;0.001;0.005,0
195980,00:03:15,14,background,0.9316,0.022;0.932;0.018;0.022;0.001;0.005,0
211018,00:03:31,15,background,0.7427,0.073;0.743;0.061;0.073;0.009;0.043,0
226058,00:03:46,16,background,0.8256,0.040;0.826;0.033;0.068;0.007;0.028,0
241098,00:04:01,17,background,0.8246,0.023;0.825;0.033;0.081;0.006;0.033,0
256138,00:04:16,18,background,0.5707,0.019;0.571;0.009;0.334;0.011;0.056,0
271178,00:04:31,19,background,0.7717,0.015;0.772;0.004;0.185;0.003;0.022,0
286218,00:04:46,20,background,0.8274,0.011;0.827;0.028;0.097;0.014;0.023,0
301260,00:05:01,21,great_horned_owl,0.5051,0.010;0.353;0.006;0.505;0.085;0.041,0
316298,00:05:16,22,background,0.9771,0.004;0.977;0.005;0.013;0.001;0.001,0
331338,00:05:31,23,background,0.6843,0.039;0.684;0.027;0.234;0.011;0.004,0
346378,00:05:46,24,background,0.3010,0.176;0.301;0.210;0.176;0.086;0.050,0
361418,00:06:01,25,red_tailed_hawk,0.4139,0.346;0.083;0.083;0.041;0.414;0.034,0
376458,00:06:16,26,california_quail,0.7808,0.053;0.131;0.781;0.015;0.018;0.001,1
391738,00:06:31,27,american_crow,0.4825,0.483;0.337;0.081;0.056;0.040;0.003,1
406975,00:06:46,28,american_crow,0.8739,0.874;0.086;0.010;0.017;0.012;0.001,1
422266,00:07:02,29,american_crow,0.4120,0.412;0.118;0.118;0.141;0.202;0.010,1
437506,00:07:17,30,american_crow,0.7769,0.777;0.186;0.011;0.011;0.015;0.001,1
452807,00:07:32,31,background,0.4373,0.021;0.437;0.018;0.437;0.036;0.051,0
467850,00:07:47,32,background,0.7857,0.031;0.786;0.026;0.092;0.011;0.054,0
482890,00:08:02,33,background,0.6038,0.020;0.604;0.020;0.247;0.024;0.085,0
497932,00:08:17,34,background,0.4039,0.009;0.404;0.028;0.283;0.138;0.138,0
512970,00:08:32,35,background,0.5891,0.024;0.589;0.058;0.241;0.048;0.040,0
528010,00:08:48,36,background,0.6530,0.015;0.653;0.018;0.223;0.026;0.064,0
543050,00:09:03,37,background,0.6540,0.015;0.654;0.013;0.268;0.013;0.037,0
558090,00:09:18,38,background,0.8484,0.006;0.848;0.006;0.119;0.002;0.020,0
573130,00:09:33,39,background,0.6284,0.015;0.628;0.012;0.257;0.036;0.051,0
588170,00:09:48,40,background,0.5569,0.016;0.557;0.009;0.326;0.038;0.055,0
603212,00:10:03,41,western_meadowlark,0.5046,0.049;0.206;0.071;0.084;0.084;0.505,1
